plant_name,plant_eng_name,plant_type,plant_mean,plant_num_uplevel,plant_num_unlock,plant_drawable_unlock,plant_drawable_lock,plant_image
富貴樹,Wealth tree,觀葉植物,代表著高貴奢華，同時也代表著力量。,5,5,drawable/plant1_unlock,drawable/plant1_lock,drawable/home_plant1
幸運の花,Lucky flower,草花植物,繁華的秋日，捎來盛開的好運。,5,5,drawable/plant2_unlock,drawable/plant2_lock,drawable/home_plant2
龜背芋,Monstera deliciosa,常綠藤本植物,具有強大的生命力和長壽。,5,5,drawable/plant3_unlock,drawable/plant3_lock,drawable/home_plant3
波斯頓厥,Boston Fern,常綠藤本植物,克服挑戰並取得勝利。,5,5,drawable/plant4_unlock,drawable/plant4_lock,drawable/home_plant4
常春藤,Hedera helix,常綠藤本植物,打造全新的開始，活出真正的自我。,5,5,drawable/plant5_unlock,drawable/plant5_lock,drawable/home_plant5
蘆薈,Aloe vera,多肉植物,從痛苦創傷中復原，並帶給人能量。,5,5,drawable/plant6_unlock,drawable/plant6_lock,drawable/home_plant6
刺刺,Thorn thorn,多肉植物,不論要等待多久，我都不會放棄。,5,5,drawable/plant7_unlock,drawable/plant7_lock,drawable/home_plant7
變葉木,Codiaeum variegatum,草花植物,專注守候，真心地奉獻。,5,5,drawable/plant8_unlock,drawable/plant8_lock,drawable/home_plant8
牽牛花,Ipomoea nil,草花植物,不輕易消失的美麗。,5,10,drawable/plant9_unlock,drawable/plant9_lock,drawable/home_plant9
含苞待放,In early puberty,草花植物,寂靜的藍調，擁抱悲傷的靈魂。,5,10,drawable/plant10_unlock,drawable/plant10_lock,drawable/home_plant10
叮叮噹,Ding dong,草花植物,將對你的思念，化成我唯一的花與葉。,5,10,drawable/plant11_unlock,drawable/plant11_lock,drawable/home_plant11
薄荷草,Mentha haplocalyx,香草植物,不起眼的外型，卻有濃郁沁人的清香。,5,10,drawable/plant12_unlock,drawable/plant12_lock,drawable/home_plant12
招財樹,Malabar chestnut,常綠藤本植物,堅韌而沉著，好運和財富的代表,5,10,drawable/plant13_unlock,drawable/plant13_lock,drawable/home_plant13
幸福木,Radermachera sinica,觀葉植物,和諧之美，平衡之美，純真快樂。,5,10,drawable/plant14_unlock,drawable/plant14_lock,drawable/home_plant14
可樂草,Cola tree,觀葉植物,紀念回憶，代表著擦去回憶的憂傷。,5,10,drawable/plant15_unlock,drawable/plant15_lock,drawable/home_plant15
一支獨秀,A single show,草花植物,與春共舞，欣欣向榮。,5,10,drawable/plant16_unlock,drawable/plant16_lock,drawable/home_plant16
小白花,White flower,草花植物,高貴而純潔的意志。,5,10,drawable/plant17_unlock,drawable/plant17_lock,drawable/home_plant17
夏威夷,Hawaii,觀葉植物,吹拂著微風，哼唱著夏天的歌。,5,10,drawable/plant18_unlock,drawable/plant18_lock,drawable/home_plant18
串串,String String,香草植物,突破限制，屹立不搖的毅力與耐力。,5,10,drawable/plant19_unlock,drawable/plant19_lock,drawable/home_plant19
三葉草,Shamrock,觀葉植物,今生唯有你，才會如此幸運。,5,10,drawable/plant20_unlock,drawable/plant20_lock,drawable/home_plant20
蘆薈,Aloe vera,多肉植物,從痛苦創傷中復原，並帶給人能量。,5,20,drawable/plant21_unlock,drawable/plant21_lock,drawable/home_plant21
鏡面草,Pilea peperomioides,常綠藤本植物,閃閃發光，為你的生活帶來亮眼曙光。,5,20,drawable/plant22_unlock,drawable/plant22_lock,drawable/home_plant22
百合,Lilium,草花植物,深谷裡堅毅的笑容，在低潮時不忘抬頭。,5,20,drawable/plant23_unlock,drawable/plant23_lock,drawable/home_plant23
火鶴花,Anthurium andraeanum,草花植物,永恆的愛和純真的心靈。,5,20,drawable/plant24_unlock,drawable/plant24_lock,drawable/home_plant24
蔓綠絨,Philodendron,觀葉植物,熱情似火，如果實般紅艷。,5,20,drawable/plant25_unlock,drawable/plant25_lock,drawable/home_plant25
胖胖仙子,Chubby fairy,多肉植物,在我面前不用裝堅強，外型可愛討喜。,5,20,drawable/plant26_unlock,drawable/plant26_lock,drawable/home_plant26
